district,crime,year,amount,total
CENTRAL,PROSTITUTION,2003,70,13622
NORTHERN,PROSTITUTION,2003,581,18975
INGLESIDE,PROSTITUTION,2003,5,14008
SOUTHERN,PROSTITUTION,2003,18,25692
MISSION,PROSTITUTION,2003,713,21163
TENDERLOIN,PROSTITUTION,2003,527,12737
RICHMOND,PROSTITUTION,2003,15,7692
TARAVAL,PROSTITUTION,2003,10,11329
BAYVIEW,PROSTITUTION,2003,11,15739
PARK,PROSTITUTION,2003,2,8219
CENTRAL,PROSTITUTION,2015,44,18368
NORTHERN,PROSTITUTION,2015,42,19804
INGLESIDE,PROSTITUTION,2015,4,13133
SOUTHERN,PROSTITUTION,2015,96,29709
MISSION,PROSTITUTION,2015,66,18312
TENDERLOIN,PROSTITUTION,2015,23,10584
RICHMOND,PROSTITUTION,2015,9,8970
TARAVAL,PROSTITUTION,2015,78,11752
BAYVIEW,PROSTITUTION,2015,6,14353
PARK,PROSTITUTION,2015,1,9221
CENTRAL,VEHICLE THEFT,2003,1193,13622
NORTHERN,VEHICLE THEFT,2003,1879,18975
INGLESIDE,VEHICLE THEFT,2003,2319,14008
SOUTHERN,VEHICLE THEFT,2003,1426,25692
MISSION,VEHICLE THEFT,2003,2063,21163
TENDERLOIN,VEHICLE THEFT,2003,371,12737
RICHMOND,VEHICLE THEFT,2003,1081,7692
TARAVAL,VEHICLE THEFT,2003,1665,11329
BAYVIEW,VEHICLE THEFT,2003,2121,15739
PARK,VEHICLE THEFT,2003,1207,8219
CENTRAL,VEHICLE THEFT,2015,549,18368
NORTHERN,VEHICLE THEFT,2015,942,19804
INGLESIDE,VEHICLE THEFT,2015,1366,13133
PARK,VEHICLE THEFT,2015,639,9221
MISSION,VEHICLE THEFT,2015,1195,18312
TENDERLOIN,VEHICLE THEFT,2015,112,10584
RICHMOND,VEHICLE THEFT,2015,561,8970
TARAVAL,VEHICLE THEFT,2015,786,11752
BAYVIEW,VEHICLE THEFT,2015,981,14353
SOUTHERN,VEHICLE THEFT,2015,793,29709
