AAR,BYDEL,ALDERSKAT,IETYPE,SOC_GRUPPE,SOCSTIL,PERSONER
2013,1,1,1,1,132,11
2013,1,1,1,1,133,4
2013,1,1,1,1,134,34
2013,1,1,1,1,135,29
2013,1,1,1,1,136,69
2013,1,1,1,3,400,6204
2013,1,1,2,1,136,1
2013,1,1,2,3,400,229
2013,1,1,3,1,133,1
2013,1,1,3,1,134,3
2013,1,1,3,1,135,1
2013,1,1,3,3,400,289
2013,1,2,1,1,115,3
2013,1,2,1,1,116,48
2013,1,2,1,1,118,17
2013,1,2,1,1,131,11
2013,1,2,1,1,132,345
2013,1,2,1,1,133,206
2013,1,2,1,1,134,2401
2013,1,2,1,1,135,327
2013,1,2,1,1,136,248
2013,1,2,1,2,201,19
2013,1,2,1,2,202,12
2013,1,2,1,3,309,27
2013,1,2,1,3,311,8
2013,1,2,1,3,312,9
2013,1,2,1,3,316,1
2013,1,2,1,3,322,2
2013,1,2,1,3,323,6
2013,1,2,1,3,331,2
2013,1,2,1,3,333,26
2013,1,2,1,3,340,59
2013,1,2,1,3,350,1557
2013,1,2,1,3,360,384
2013,1,2,2,1,116,3
2013,1,2,2,1,118,1
2013,1,2,2,1,131,1
2013,1,2,2,1,132,63
2013,1,2,2,1,133,15
2013,1,2,2,1,134,117
2013,1,2,2,1,135,24
2013,1,2,2,1,136,57
2013,1,2,2,2,201,4
2013,1,2,2,2,202,2
2013,1,2,2,3,309,2
2013,1,2,2,3,312,1
2013,1,2,2,3,323,1
2013,1,2,2,3,333,2
2013,1,2,2,3,340,5
2013,1,2,2,3,350,249
2013,1,2,2,3,360,505
2013,1,2,3,1,115,1
2013,1,2,3,1,116,1
2013,1,2,3,1,118,1
2013,1,2,3,1,132,6
2013,1,2,3,1,133,5
2013,1,2,3,1,134,51
2013,1,2,3,1,135,8
2013,1,2,3,1,136,12
2013,1,2,3,2,201,1
2013,1,2,3,2,202,1
2013,1,2,3,3,309,5
2013,1,2,3,3,312,1
2013,1,2,3,3,340,5
2013,1,2,3,3,350,73
2013,1,2,3,3,360,26
2013,1,3,1,1,115,11
2013,1,3,1,1,116,119
2013,1,3,1,1,118,28
2013,1,3,1,1,131,36
2013,1,3,1,1,132,1226
2013,1,3,1,1,133,455
2013,1,3,1,1,134,1414
2013,1,3,1,1,135,121
2013,1,3,1,1,136,134
2013,1,3,1,2,201,86
2013,1,3,1,2,202,12
2013,1,3,1,3,309,40
2013,1,3,1,3,311,4
2013,1,3,1,3,312,11
2013,1,3,1,3,315,2
2013,1,3,1,3,316,9
2013,1,3,1,3,322,14
2013,1,3,1,3,323,5
2013,1,3,1,3,331,3
2013,1,3,1,3,340,56
2013,1,3,1,3,350,625
2013,1,3,1,3,360,183
2013,1,3,2,1,115,2
2013,1,3,2,1,116,8
2013,1,3,2,1,118,4
2013,1,3,2,1,120,1
2013,1,3,2,1,131,12
2013,1,3,2,1,132,279
2013,1,3,2,1,133,64
2013,1,3,2,1,134,167
2013,1,3,2,1,135,47
2013,1,3,2,1,136,115
2013,1,3,2,2,201,13
2013,1,3,2,2,202,5
2013,1,3,2,3,309,13
2013,1,3,2,3,311,1
2013,1,3,2,3,312,1
2013,1,3,2,3,322,1
2013,1,3,2,3,323,1
2013,1,3,2,3,340,3
2013,1,3,2,3,350,151
2013,1,3,2,3,360,519
2013,1,3,3,1,116,3
2013,1,3,3,1,118,1
2013,1,3,3,1,132,20
2013,1,3,3,1,133,7
2013,1,3,3,1,134,34
2013,1,3,3,1,135,4
2013,1,3,3,1,136,5
2013,1,3,3,2,201,2
2013,1,3,3,3,312,1
2013,1,3,3,3,322,1
2013,1,3,3,3,331,1
2013,1,3,3,3,340,2
2013,1,3,3,3,350,12
2013,1,3,3,3,360,7
2013,1,4,1,1,115,261
2013,1,4,1,1,116,1182
2013,1,4,1,1,118,166
2013,1,4,1,1,120,6
2013,1,4,1,1,131,939
2013,1,4,1,1,132,6176
2013,1,4,1,1,133,1560
